raw_text,symbol,value,tolerance,unit,confidence,x_center,y_center,bbox_width,bbox_height,x_min,y_min,x_max,y_max
28,,28.0,,mm,0.999,294.0,21.0,40,30,274,6,314,36
9,,9.0,,mm,1.0,555.0,61.0,20,28,545,47,565,75
20,,20.0,,mm,1.0,294.0,672.0,40,32,274,656,314,688
Ø19,Ø,19.0,,mm,0.914,295.0,729.0,58,30,266,714,324,744
5,,5.0,,mm,1.0,317.0,882.0,20,26,307,869,327,895
R3,R,3.0,,mm,0.974,492.0,887.0,40,30,472,872,512,902
20,,20.0,,mm,1.0,1016.0,1293.0,40,30,996,1278,1036,1308
